Cluster ID,confidence_score,Match,Key,Unique Custodians,canonical_Key,canonical_Unique Custodians,canonical_Match
20,0.993218911,U.S. Bank National Association,690,U.S. BANK NATIONAL BANK,b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.991772377,U.S. Bank National Association,691,"U.S. BANK, N.A.",b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.991068107,U.S. Bank National Association,692,"U.S. BANK, NA",b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.995901382,U.S. Bank National Association,694,"U.S. BANK, NATIONAL ASSOCIATION",b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.990660143,U.S. Bank National Association,713,US BANK N.A.,b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.994677311,U.S. Bank National Association,714,US BANK NA,b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.992544389,U.S. Bank National Association,715,US BANK NATIONAL ASSOCIATION,b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.994185966,U.S. Bank National Association,716,"US BANK, NA",b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
20,0.993477368,U.S. Bank National Association,717,"US BANK, NATIONAL ASSOCIATION",b'694',"b'U.S. BANK, NATIONAL ASSOCIATION'",b'U.S. Bank National Association'
21,0.995787,City National Bank,204,CITY NATIONAL BANK,b'204',b'CITY NATIONAL BANK',b'City National Bank'
21,0.995787,City National Bank,205,CITY NATIONAL CORPORATION,b'204',b'CITY NATIONAL BANK',b'City National Bank'
22,0.998265624,First Republic Bank,295,FIRST REPUBLIC,b'295',b'FIRST REPUBLIC',b'First Republic Bank'
22,0.997318864,First Republic Bank,296,FIRST REPUBLIC BANK,b'295',b'FIRST REPUBLIC',b'First Republic Bank'
22,0.994912729,First Republic Bank,297,"FIRST REPUBLIC BANK, N.A.",b'295',b'FIRST REPUBLIC',b'First Republic Bank'
22,0.995134711,First Republic Bank,298,"FIRST REPUBLIC SECURITIES COMPANY, LLC",b'295',b'FIRST REPUBLIC',b'First Republic Bank'
22,0.994933233,First Republic Bank,299,FIRST REPUBLIC TRUST COMPANY,b'295',b'FIRST REPUBLIC',b'First Republic Bank'
23,0.987507917,Citco Global Custody,155,CITCO BANK (CANADA),b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.981155617,Citco Global Custody,156,CITCO BANK AND TRUST (BAHAMAS) LIMITED,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.984488025,Citco Global Custody,157,CITCO BANK AND TRUST COMPANY (BAHAMAS) LIMITED,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.979997658,Citco Global Custody,158,CITCO BANK AND TRUST COMPANY LIMITED,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.991145923,Citco Global Custody,159,CITCO BANK CANADA,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.984511631,Citco Global Custody,160,"CITCO BANK CANADA, INC",b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.983781065,Citco Global Custody,161,CITCO BANK NEDERLAND N.V.,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.980870111,Citco Global Custody,162,CITCO BANK NEDERLAND N.V. LUXEMBOURG BRANCH,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.984465341,Citco Global Custody,163,CITCO BANK NEDERLAND VC,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.98671077,Citco Global Custody,164,CITCO BANK OF CANADA,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.988808833,Citco Global Custody,165,CITCO BANK TORONTO,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.978349725,Citco Global Custody,166,CITCO BANKING CORPORATION (CURACAO),b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.981275746,Citco Global Custody,167,CITCO BANKING CORPORATION N.V.,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.981613352,Citco Global Custody,168,CITCO BANKING CORPORATION N.V. (CURACAO),b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.980921271,Citco Global Custody,169,CITCO BANKING CORPORATION NV,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.978757889,Citco Global Custody,170,"CITCO BANKING CORPORATION, NA, NV",b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.973139053,Citco Global Custody,171,CITCO CUSTODY LIMITED,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.976977414,Citco Global Custody,172,CITCO FUND BANK NEDERLAND,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.969729917,Citco Global Custody,173,CITCO FUND SERVICES (MALTA) LIMITED,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.967883573,Citco Global Custody,174,CITCO GLOBAL CUSTODY (N.A.) N.V.,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.971358716,Citco Global Custody,175,CITCO GLOBAL CUSTODY NV NA,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
23,0.970134588,Citco Global Custody,176,CITCO SECURITIES INC.,b'165',b'CITCO BANK CANADA',b'Citco Global Custody'
24,0.998213,INTL FCStone,372,INTL FCSTONE,b'372',b'INTL FCSTONE',b'INTL FCStone'
24,0.998213,INTL FCStone,373,INTL FCSTONE FINANCIAL INC.,b'372',b'INTL FCSTONE',b'INTL FCStone'
25,0.997393,American Stock Transfer & Trust Company,9,"AMERICAN STOCK TRANSFER & TRUST CO., LLC",b'9',"b'AMERICAN STOCK TRANSFER & TRUST CO., LLC'",b'American Stock Transfer & Trust Company'
25,0.997393,American Stock Transfer & Trust Company,10,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",b'9',"b'AMERICAN STOCK TRANSFER & TRUST CO., LLC'",b'American Stock Transfer & Trust Company'
26,0.994065821,ING Bank,359,ING BANK,b'360',b'ING BANK',b'ING Bank'
26,0.981104791,ING Bank,360,ING BANK N.V.,b'360',b'ING BANK',b'ING Bank'
26,0.986985922,ING Bank,361,ING LUXEMBOURG S.A.,b'360',b'ING BANK',b'ING Bank'
26,0.987812042,ING Bank,362,"ING LUXEMBOURG, S.A.",b'360',b'ING BANK',b'ING Bank'
